id,location.city.name,location.city.normalized_name,location.district.name,location.region.name,location.region.normalized_name,title,price,currency,floor_select,furniture,builttype,m,rooms,rent
620467288,Wrocław,wroclaw,Śródmieście,Dolnośląskie,dolnoslaskie,"Kawalerka 33 m2 Promenady Wrocławskie, Zakładowa, Jedności Narodowej.",2400.0,PLN,2,yes,apartamentowiec,33,one,400
706672676,Poznań,poznan,Stare Miasto,Wielkopolskie,wielkopolskie,"Kawalerka na Wildzie, blisko centrum,oddzielona kuchnia",1500.0,PLN,2,yes,kamienica,30,one,460
760410936,Kraków,krakow,Podgórze,Małopolskie,malopolskie,Przestronne 3 pokoje w NOWYM budownictwie | pets friendly 15.07,3280.0,PLN,5,yes,blok,54,three,720
766026655,Leszno,leszno,,Wielkopolskie,wielkopolskie,MIESZKANIE bezczynszowe 31m2 do wynajęcia,1400.0,PLN,2,yes,szeregowiec,31,two,500
640520744,Wrocław,wroclaw,Śródmieście,Dolnośląskie,dolnoslaskie,Wynajem Mieszkanie m. postojowe Pobożnego / Niemcewicza ok. placu Bema,3000.0,PLN,4,yes,apartamentowiec,46.65,two,350
765559459,Opole,opole,,Opolskie,opolskie,Wynajmę mieszkanie na ul. Wandy w Opolu,1600.0,PLN,1,yes,kamienica,46,two,1
759968127,Warszawa,warszawa,Mokotów,Mazowieckie,mazowieckie,Wynajme mieszkanie - 2 pok. Metro Wilanowska,2800.0,PLN,Powyżej 10,yes,blok,40,two,1
766026307,Wrocław,wroclaw,Krzyki,Dolnośląskie,dolnoslaskie,"2 pokoje, osiedle Cztery Pory Roku, bezpośrednio",2700.0,PLN,3,yes,blok,42,two,1
766026252,Wrocław,wroclaw,Fabryczna,Dolnośląskie,dolnoslaskie,2-pokojowe z ogrodem i parkingiem podziemnym,2600.0,PLN,Parter,yes,blok,47,two,390
766025766,Sosnowiec,sosnowiec,,Śląskie,slaskie,Kawalerka do wynajęcia dla spokojnej pary !,1500.0,PLN,3,no,blok,32.78,one,100
766025255,Warszawa,warszawa,Wola,Mazowieckie,mazowieckie,Mieszkanie przy metrze Księcia Janusza,2500.0,PLN,5,yes,blok,30.5,two,350
